,LOC_id,ISOALPHA,COUNTRYNM,NAME1,Confirmed,Deaths,Recovered,Latitude,Longitude,population,land,risk_Permillion,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (m/s),temp_gp,Wind Speed (mph),Log Case,Trans Case,density,density_gp
94,89,FRO,Faeroe Islands,,11,0,0,61.8926,-6.9118,48757.0,1391.87203,225.61,39.2,64,90,24.16,L Temp,54.0444704,3.4724877714627436,7.818326527802984,67863504.56671,L Density
95,97,FIN,Finland,,244,0,10,61.9241,25.7482,5554884.0,305154.1875,43.93,37.99,93,90,9.17,L Temp,20.512739800000002,7.9313284848937915,5.460414939162169,1695096113676.75,M Density
96,98,FRA,France,,4499,91,12,46.2276,2.2137,65719957.0,546119.2673,68.46,44.01,82,0,1.03,M Temp,2.3040482000000004,12.135420718238473,6.099295204337775,35890934763827.5,H Density
97,99,GUF,French Guiana,,7,0,0,3.9339,-53.1258,304198.0,83407.73295,23.01,70.43,99,51,1.57,M Temp,3.5119958000000002,2.8278190246173196,4.530445354692906,25372465547.924103,L Density
98,100,PYF,French Polynesia,,3,0,0,-17.6797,-149.4068,296263.0,4135.217608,10.13,84.2,74,75,3.36,H Temp,7.5161184,1.632268215499513,3.354734239970604,1225111974.198904,L Density
99,104,GAB,Gabon,,1,0,0,-0.8037,11.6094,1917170.0,263732.7194,0.52,70.97,95,99,1.88,M Temp,4.2054472,0.13750352374993502,-0.6896598793878495,505620457652.098,M Density
100,105,GEO,Georgia,,33,0,0,42.3154,43.3569,3977027.0,69277.05735,8.3,31.73,98,100,2.93,L Temp,6.554234200000001,5.048759311919856,3.070389327891398,275516727561.4985,M Density
101,106,DEU,Germany,,5795,11,46,51.1657,10.4515,80392287.0,353564.8548,72.08,46.0,91,15,10.29,M Temp,23.0181126,12.500617841193113,6.1735272381225075,28423887280194.926,H Density
102,107,GHA,Ghana,,6,0,0,7.9465,-1.0232,30530454.0,233507.2617,0.2,81.23,73,84,7.09,H Temp,15.8599046,2.608809242675524,-1.7369655941662059,7129082711997.812,M Density
103,196,GIB,Gibraltar,,1,0,1,36.1408,-5.3536,32610.0,7.222942252999999,30.67,62.6,87,90,33.33,M Temp,74.5572102,0.13750352374993502,4.94345253855882,235540.14687032998,L Density
104,108,GRC,Greece,,331,4,8,39.0742,21.8243,10825393.0,131714.44,30.58,36.0,41,0,32.99,L Temp,73.7966506,8.371123200509636,4.939226577728209,1425860576774.92,M Density
105,109,GLP,Guadeloupe,,3,0,0,16.265,-61.551,419071.0,1659.271598,7.16,69.8,94,40,2.24,M Temp,5.010745600000001,1.632268215499513,2.859969548221026,695352607.845458,L Density
106,247,GUM,Guam,,3,0,0,13.4443,144.7937,180367.0,552.4462017000001,16.63,87.8,58,20,23.04,H Temp,51.5390976,1.632268215499513,4.064365540263628,99643064.06202391,L Density
107,110,GTM,Guatemala,,1,0,0,15.7835,-90.2308,18014914.0,108496.35,0.06,68.99,95,0,6.87,M Temp,15.3677778,0.13750352374993502,-2.643856189774725,1954552414563.9001,M Density
108,111,GGY,Guernsey,,1,0,0,49.45,-2.58,62966.0,88.35966097,15.88,46.4,93,20,9.17,M Temp,20.512739800000002,0.13750352374993502,3.9981955031532523,5563654.4126370195,L Density
109,112,GIN,Guinea,,1,0,0,9.9456,-9.6966,14354833.0,245768.0634,0.07,74.39,80,48,5.14,H Temp,11.4978716,0.13750352374993502,-2.5563933485243853,3527959506840.4126,M Density
110,113,GUY,Guyana,,4,1,0,4.8604,-58.9302,786794.0,210213.5602,5.08,70.79,98,21,3.13,M Temp,7.0016222,2.035623909730721,2.372952097911829,165394767883.9988,M Density
111,114,VAT,Holy See,,1,0,0,41.9029,12.4534,804.0,0.528731019,1243.78,50.0,81,40,8.05,M Temp,18.007367000000002,0.13750352374993502,10.280631596693748,425.099739276,L Density
112,115,HND,Honduras,,3,0,0,15.2,-86.2419,8650580.0,112068.3951,0.35,62.69,99,43,2.19,M Temp,4.8988986,1.632268215499513,-1.15200309344505,969456617284.158,M Density
113,116,HUN,Hungary,,32,1,1,47.1625,19.5033,9684953.0,91675.36334,3.3,45.0,74,0,4.7,M Temp,10.513618000000001,5.004501392234941,1.765534746362977,887871585205.823,M Density
114,117,ISL,Iceland,,171,5,8,64.9631,-19.0208,342143.0,88938.9154,499.79,14.09,90,100,16.89,L Temp,37.7819166,7.418695949602051,8.96546685683475,30429827331.702198,L Density
115,118,IND,India,,113,2,13,20.5937,78.9629,1388858472.0,3129067.3039999995,0.08,73.4,78,75,2.24,H Temp,5.010745600000001,6.821455119102458,-2.473931188332412,4345831634618599.0,H Density
116,119,IDN,Indonesia,,117,5,8,-0.7893,113.9213,271857452.0,1889536.111,0.43,94.73,40,44,4.68,H Temp,10.4688792,6.871597265613853,-0.9159357352115255,513684472598449.2,H Density
117,120,IRN,Iran (Islamic Republic of),,13938,724,4590,32.4279,53.688,83403272.0,1617546.572,167.12,69.17,26,66,7.94,M Temp,17.7613036,13.766746290296684,7.38560359805024,134908676717183.58,H Density
118,121,IRQ,Iraq,,116,10,26,33.2232,43.6793,41972385.0,441034.763,2.76,64.4,77,90,18.34,M Temp,41.025479600000004,6.859224161978204,1.5160151470036647,18511280871019.754,H Density
119,122,IRL,Ireland,,129,2,0,53.1424,-7.6921,4874303.0,69000.77784,26.47,42.01,93,100,1.01,L Temp,2.2593094000000002,7.012345190419828,4.731726322715782,336330698427.8455,M Density
120,123,ISR,Israel,,251,0,4,31.0461,34.8516,8718238.0,21987.34974,28.79,49.01,70,75,24.47,M Temp,54.7379218,7.9721182183841375,4.852498298789891,191690948022.55814,M Density
121,124,ITA,Italy,,24747,1809,2335,41.8719,12.5674,59742681.0,298133.0954,414.23,50.0,100,36,2.24,M Temp,5.010745600000001,14.594971851782095,8.694636473727595,17811270414024.766,H Density
122,125,JAM,Jamaica,,10,0,0,18.1096,-77.2975,2840110.0,11036.57031,3.52,80.6,61,20,10.29,H Temp,23.0181126,3.3362833878644325,1.8559896973084806,31345073703.134098,L Density
123,126,JPN,Japan,,839,22,118,36.2048,138.2529,125039022.0,370379.427,6.71,60.01,26,20,5.82,M Temp,13.018990800000001,9.712698944309986,2.7676547982373463,46311881321000.4,H Density
124,127,JEY,Jersey,,2,0,0,49.19,-2.11,104525.0,125.0344982,19.13,46.4,81,30,6.93,M Temp,15.5019942,1.070389327891398,4.265286857565172,13069230.924355,L Density
125,195,JEY,Jersey,,3,0,0,49.3723,-2.3644,104525.0,125.0344982,28.7,46.4,93,20,9.17,M Temp,20.512739800000002,1.632268215499513,4.84799690655495,13069230.924355,L Density
126,128,JOR,Jordan,,8,0,1,30.5852,36.2384,8166792.0,88939.6342,0.98,43.97,67,52,17.78,M Temp,39.7727932,3.017921907997262,0.11103131238874395,726351493067.4865,M Density
